review_text,review_posted_date,review_header,review_rating,review_author
"I bought it for my wife. She is glad to have it and did not ask me it's price. Because the phone does not look like a cheap phone. It has duel 4G sim slot and a separate micro sd card slot which is not present in the upper level Redmi models. Battery is 3000 mah. But as it is not a full hd model the phone can run enough time with a single charge. Call quality, Camera, Display - all are good considering it's price. I bought the 16gb model. And the memory is enough when you have a 32gb sd card (It has OTG support also).",18 Nov 2018,Best budget smart phone,5.0 ,sudipto paladhi
"Phone is got hanged as soon as I inserted the sim, now I am struggling to get it work, I have ordered two of them for my parents ...waste of time and money...",30 Oct 2018,Please don't buy this,1.0 ,anu
"Its screen wide is 5.45 = excellent , camera back is = excellent , front = excellent in morning or afternoon and good in evening or night because without front flash light with AI potrat mode , battery = i am used 3 days only so cant say but as good as 3000 mah and without heating issue , no hang issue support 256 gb i used 32 gb smooth work as butter and both slot is 4g at same time with volte and any problem or query ask me and two piece i order any one who are not purchase in sale for rush contact me",24 Oct 2018,Its a budget phone for 6000,5.0 ,milan thakur
Phone is okay.. Fine for normal use. Phone is little bit slow. Sound quality is little low than other mi phones. IR remote is missing. It was better to add fingerprint sensor by hiking price a little. Other features are fine as like other mi phones.,27 Sep 2018,Just Okay with some drawback,4.0 ,Md Rafi
"So if you want to buy this product read the review and decide yourself. This review will getting little longer but after reading you will know🤔 everything about this! 1.Looks and Build:Trust me guys under 6k this is the best design no smartphone offering you this type of design yes its build is made of plastic but under 6k you cannot expect better than this. Even its plastic then also its feel solid yes it can take scratches easily so I will recommend you to buy a back cover for your smartphone. *Even mid range phone get scratches so easily*🤣 2.Camera: now camera is the thing which many people likes and dislikes but in my opinion under 6k this camera is best talking about the front camera it is even impressive😮 the qualities actually true 5 megapixel.😎 And the rear camera according to price its decent not so good but not so bad it's actually work fine with this budget category phone.😉 According to me you cannot expect more than this in this price.👍 3.Battery🔋: in today's smartphone battery is the major problem that it's not even last for a day but under the budget of 6k 3000 MaH battery is not bad. Under the moderate usage it can last upto a day.🗓️ Battery is pretty decent. Performance✌️: this phone is powered by MediaTek helio a22 quad core processor which is clocked at speed of 2.0 gigahertz. And according to this price range this processor is good for this phone it can easily handle your daily work like social networking ,playing games medium graphic one, all other small works. you need to kept in mind that this phone price only 6,000 rupees so you cannot expect more than this. Now some people will say that 2GB RAM and 16GB storage is low and we cannot use this phone smoothly. But in my opinion if you want this phone for light use then this will not create problem for you. But for heavy users who wishes to play pubg on it That's not for you guys! ☺️ But you know the fun fact you can play pubg on low graphic setting on this device!😆 And also if you are that type of person who downloading apps and apps multiple apps on your smartphone Daily then this device is not for you. Display📲: under this price range this display is best nothing to say anything more (Important):- I read many reviews on Amazon and people are saying that the smartphone is bad its sound quality is not good, its battery backup is not good, its build quality is not good. According to me they want more in this price range but in my opinion you cannot get this much in 6k! In last let's take my verdict: If you want phone for lite use Not for heavy purpose then this phone is made for you. But in any case if you want a little better smartphone then this you can pay 1500 rupees extra and grab the realme c1. Real me C1 is also good value for money option for you yes you can play pubg on it.",26 Jan 2019,Want To Buy?,5.0 ,V.I.P'$
"The hardware is awesome, with good display, camera and all... But the MIUI is a real TRAP. Reasons listed below. 1. Privacy: They have launched alternate apps for every Google Apps. They are constantly collecting user data. Be it via keyboard, their videoplayer, browser, cloud backup- anything. The only thing I wanted from redmi is hardware. But a lot of rubbish spying softwares also came along with it, branded as MIUI. The worst part is we can't even disable most of these, thus taking extra ram space. 2. Space: The MIUI and all the spying apps that comes along with these needs constant updates. And we can't disabl the updates. Soon all these heavy updates are going to take ur space- both ram and internal storage. And this is a dirty business tactics used by them to life their customers into buying a high-end phone the next time. Overall review: Hardware and config- above edpectation. Software- sucks. Conclusion: Dont buy this. It's a trap. Buy other phones in this segnent without any inbuilt apps.",30 Jan 2019,MIUI sucks,1.0 ,Shon
"Superb phone in budget Can't ask more Loved everything about phone It's amazing If you have budget of 6000 then go for it blindly I gifted it to my grandfather,he is more than happy",21 Sep 2018,Wait was worth it,4.0 ,Prassie
"This is my second Mi Redmi 6A purchased within one month for my staff at my restaurant. Mi Redmi 6A is a Trustworthy Handset with Better quality Camera, Excellent Sound Quality, Impressive Built Quality and Looks. Powered by Helio P22 Quad Core Processor gives excellent performance without any system lags or hanging problems. 3000mh battery provides excellent power backup to last at least one full day. The Software is Latest and Up-to-date. The All the in box accessories including Charger are of the best quality. The performance of this handset is Best In Class At The Price Offered. Team Amazon Delivered The Product On Time With Sturdy Packaging and The Seller Aprio is one of the most trusted sellers on Amazon. I highly recommend Redmi 6A to buyers looking for a great performing phone at a budget price.",15 Jul 2019,"Value for Money Product With Excellent Performance, Built Quality and Impressive Camera!",5.0 ,Pandit Ajay Kumar Joshi
"This is a complete value for money product. I am happy with the performance of this mobile. Call and speaker volumes are really high. It makes calling in noisy environments audible. Camera: 13 MP Rear camera | 5 MP front camera Display: 13.84 centimetres (5.45-inch) HD+ display with 1440x720 pixels, 295 pixel density and 18:9 aspect ratio Memory, Storage & SIM: 2GB RAM | 32GB storage expandable up to 256GB with dedicated slot | Dual nano SIM with dual-standby (4G+4G) Operating System and Processor: Android v8.1 operating system with Mediatek Helio A22, 2.0Ghz Quad core processor with 12nm technology Battery: 3000 mAH lithium Polymer battery Warranty: 1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase Included in box: Adapter, USB Cable 32;Dual SIM;GPS;Music Player;Video Player;FM Radio;Proximity sensor;Accelerometer sensor;Ambient light sensor, E compass sensor;E-mail",29 Jan 2019,Best mobile in this price range,5.0 ,shah faisal
Good phone,27 Jun 2019,Good,3.0 ,Mohammad Furkan
"Very good phone at a low price delivered in time, first of all, thank you Appario Retail Private Ltd. Bought at 5999/- after confirmed of the purchased got a refund of 500/-. Camera is up to the mark I hope ( can't compare iPhone) . I use this phone as secondary and battery last a whole day I do not use heavy work ( playing game, watching movies frequently). It supports dual VoLTE, 2 sim card and a memory card at the time. Charging battery at a very fast and last a whole day but can't compare the same capacity of Samsung mobile. I love this phone. I suggested who want to have a secondary phone this is the best but for primary its not much good. When unbox 2gb ram can be free upto 1gb ram. After installing and updating the apps ( including preinstalled), can't be free not more than 750mb.",07 Jun 2019,Best phone at low price,5.0 ,ROSHAN KH
"Yes price is very low for this phone also it's performance, after using for a week phone start to hang whenever you used 2 or more apps together and battery is also a issue I have to charge it two times in a day it drains quickly. First I give it 5 star but after using it I change it for 3",21 Sep 2018,Not that good,3.0 ,ABHISHEK
"It's my bad that even though I read about this phone having issues like hanging etc I went for it just because as price factor as I would be using this as secondary phone. But complete dissatisfaction. Phone hangs even just with one app WhatsApp. Battery even though its 100% comes down to less than 20% in 4-5 hours (Yes with out Data, GPS enabled). I tried returning this phone and its pathetic that Amazon straightly said they cant return I seriously felt very unhappy with their response on phone, calling agent started giving me gyaan about settings I said I already did more that what she said, so last final answer is I cant return the phone so waste of money. So now 6K under the drain Amazon doesn't care once its sold (its not a offer sale). Thanks Amazon you surpassed Flipkart in cheating customers. Kudos!",16 May 2019,Please Avoid this phone,2.0 ,Being Bobby
Worst product ever. It's has been a week only n the phone stopped working. Service center guys have no idea what's the problem n randomly they say motherboard has crashed and it takes 6 days to change the motherboard. Worst quality ever. Never gonna buy or recommend Redmi ever again,06 Dec 2018,Worst product ever,1.0 ,Amazon Customer
"I had bought the Xiaomi 6A a week ago. I am sharing my experience with this phone. Xiaomi is very reputed Brand because of their cheap and best products compared to the price. Xiaomi’s 6A is a very nice smartphone under very low price which is just ₹ 5, 999. Everything in this smartphone is ok for average users. The display is this phone is very good looking. The phone looks very stylish and sleek in hands. I am fully satisfied with this phone and think the everybody else should be happy with this phone under this price segment.",21 Nov 2018,Nice,4.0 ,Mahesh Suthar
"Redmi 6A will be the best pick in the budget range. Other competitors can't give the features and quality which Redmi can give you at your hand and in a cheapest range. The best features of this phone is, its traditional looks and features. Battery life is also long lasting. So no doubt, you can go for it. I just have one issue with the packaging of the product by amazon. They have sent a plactic packet, I was shocked! But no damage or physical harm have occured. I am happy with my new device! Thanks Redmi, for giving us an oppurtunity to ascend to a new smartphone in an affordable price range. Thank you.",29 Oct 2018,My Gratitude to Redmi & Amazon!,5.0 ,Sudip Das Gupta
worst mobile.I purchased redmi mobile over 3 times. but this time I was really disappointed. worst camera quality it's like 0.5 MP not 5 MP. don't buy it. I lost my money 7500. 😡😡😡,15 Nov 2018,Don't buy it friends..,1.0 ,Amazon Customer
"Hmm this is good phone. in this price range please dont expect more for this mobile ... given the price its good budget smartphone, 👍 having said that thare is one negative point in this phone like proceseor is rather slow. again dont expect more its perfect for normal use",15 Feb 2019,somewhat good,5.0 ,Rohit Singh
Picture quality is very awesome in this phone. Battery backup is also very good.upto 24hrs of continue use This phone is very light weight. Camera quality is also very Awesome due to 13MP camera and 5MP front camera In this price of 5999Rs no other brand is give this type of awesome product,29 Oct 2018,God of all lowest price phones,5.0 ,shubham patel
"Mi all models are beast I every price point but I this phone I don't like the processor its too slow it response slowly and mi ui o don't like icons and ui I don't like mi phones and they offer their apps stock rom much batter in every terms mobile desing good and also display qulity good, camera qulity good but in low light photo goes blurry... bettery qulity brightness and notification light everything is good with this price poin and 32gb/2gb overall package i'll give them 5/4",03 Apr 2019,Beast in this price poin but some things i dont like,4.0 ,Ankit Pal Singh
"Redmi 6a is the best budget phone.it sound qulity,camera,display is awesome.",31 Oct 2018,redmi 6a,5.0 ,Raju S.
This is my first Redmi phone. But not happy with this. I am not sure if this is a faulty piece or all phones are like this. 1) Slowest - when you click on any application you need to Waittttttttttt................................Worst performance. 2) Sound quality - Poor. When you are on call always others are complaining that voice is breaking. 3) Auto Brightness- does not work properly Worst thing was I waited for this phone for almost a month on Wednesday 12 PM Sale as I liked the look of the phone.,31 Oct 2018,"Excellent look but Slowest phone, Worst quality of sound and Auto Brightness",1.0 ,Murthy
Worst product to buy. Processor is so slow that opening a application takes a lot of time. When an incoming call comes while an app is open it doesn't reflect on your screen. Pathetic service and response from Amazon when i raised the complaint. Worst experience ever.,24 Nov 2018,Do not buy this from Amazon! Defect product sold!,1.0 ,goutham
I like it... But i don't like amazon because it is so late to delivered.,17 Oct 2018,It is good product..,4.0 ,Sudhanshu Ranjan
Display is ok.but proximity sensor is not working.while calling automatically it will going to hold or mute .big drawback from Redmi mobile,12 Oct 2018,Not good,5.0 ,Parvathy
"I use this mobile from last one and half month and it is very average android mobile. I am quite disappointed with camera, because picture quality is not so good. Battery life is good. Sound quality is medium. At this price mi should provide 3gb ram. But it's ok. In future i will buy it for my parents.",06 Dec 2018,Android basic phone,3.0 ,VIKRANT
I am using this phone about 2months .Excellent smart phone. Its a value for money. Only phone's ringing volume is quite low if ur are in market u will not be able to listen ur ringtone. You have to enable phone's vibration thats why i am giving 4 star Otherwise phone is very good.,05 Oct 2018,Value for money,4.0 ,Ramesh L.
"Product is good. Packaging was intact and the delivery was fast so kudos to Amazon!!! The camera quality is not as good as expected though, and the phone even in mint condition, does not have a smooth UI. Build quality is great however. The battery life is good as well. It does have connectivity issues as well. Hopefully using a 4G sim will fix it. :)",08 Dec 2018,A good enough phone for the price,4.0 ,MIE
It's been a month I am using this device in free time and I must say it's a smartphone with descent specs and good battery backup. Here are few pros and cons according to my experience: Pros: 1) Price- just ₹5999 bucks ! 2) Battery- it last about 1.5 day in light usage but less than a day in heavy usage. 3) Camera with EIS! - that's insane to have image stabilization on board at this price. Camera is descent and capture good photos but noise levels are high under low light conditions but HDR helps a bit to eliminate them 4) Looks & design- it's a personal opinion- this phone is comfortable to hold and looks great too! 5) Performance- it's good for light usage and low end games. Cons: 1) Battery- 3000mah is good but 4000mah should do great justice. 2) MIUI - full of adds and bloatware. 3) Not so smooth! - I encounter light to little lag while using this device. Also comes with Meditek helio a22 chipset which sounds fancy but average in performance. 4) Memory management- MIUI is heavy and leave around 800_900 mb of free RAM out of 2GB! Conclusion: I would recommend this device for those who are ok with the above cons or else go for Realme C2 to be launched within couple of days. P.S. I gifted this phone to my mum 😅,09 May 2019,Good but not the best! Honest review,4.0 ,Irfan S.
"Everything about this mobile is good... the best in this price range... Sound quality, battery life and screen quality is just awesome.... I have been using another Redmi mobile since the past year and faced no issues till date....",15 Oct 2018,Worth the money.....,5.0 ,Amazon Customer
"Internet is not very fast. Camera quality is very poor. Battery life is not satisfactory, display quality is poor. What’s more in a phone. I would never recommend it to buy rather one should go for any other phone in this price. Even Samsung is offering better phone in this price.",01 Jul 2019,Not value for money.,2.0 ,ASIT DASH
Battery is not good not even giving hal day backup. Give me solution.,13 Nov 2018,Battery is not performing.,5.0 ,kumar
"I RECEIVED REDMI 6A .WHEN I USED IT,I FELT THAT I HAVE USE THE OLD PRODUCT BECAUSE THERE IS HANG PROBLEM,IT TAKES A LOT OF TIME TO OPEN THE APP AND OTHER FOLDER.IT SUDDENLY SWITCHED OFF WHEN I TALK TO SOMEONE.ALL THIS MUST NOT BE HAPPEN IN NEW CELL.SO I AM NOT SATISFIED WITH THIS PRODUCT AT ALL.I SUGGEST EVERYONE DONT WASTE YOUR MONEY TO PURCHASE IT.",16 Mar 2019,BAD PRODUCT,1.0 ,pardeep
"I bought this phone for Mom. This is pretty much like her first smartphone so she is not a heavy user by any means. Uses Whatsapp, dictionary, Youtube(occasionally) and Facebook(rarely). She doesn't have any complains but when I use it , I find it to be very laggy , the home screen redraws every now and then. PUBG works but playing isn't a very good experience on this phone. All in all, this is a good buy for people who are not heavy users and provides value for money as an entry level smartphone.",18 Jun 2019,Pocket friendly but not for serious users,3.0 ,Suraj.R
"Redmi has not worked on their camera for low light, hence picture quality at night stays poor. But picture in good light is great and worth appreciating for this price, the front camera has features like background blur and the beauty filter works well. It lags a little when you have a lot of apps active all at once. But I usually can play games seamlessly. The sound outlet is at the back. That is a really poor design idea because when you place your phone on the flat table or bed, it blocks the sounds from music players as well as ringtones. Sound is okay, not very loud. Just fine and doable. Battery life could have been better, but if you're not online all day or playing video games for hours, changing once a day is more than enough. Biggest problem I've faced is that the hotspot of this phone doesn't always work on my laptop. My laptop has never had any such problems with other phone hotspots. All over, it's a good looking phone with sufficient qualities for this price point.",09 Jan 2019,Detailed review,4.0 ,Megha Das
"Picture quality is better than any modestly priced phone I have used before. Sound is ok-ok. The battery however takes 2-21/2 hours to charge and goes down to 20% by the evening even if you don't download long videos. Still, it is more than satisfactory. (I wish they gave an earphone, at least I didn't get any.)",14 Feb 2019,Super Value for Money,5.0 ,Ashutosh Joshi
"The battery life is fine however the slowness in the phone is crazy. With only basic Apps that i have like Whatsapp and Paytm, the Phone simply doesn't respond. Even for this price point, the slowness is not justified. Might as well pay few more thousand and avoid this phone for sure.",20 Aug 2019,Major lag and slow,1.0 ,Reviewing
Worst mobile,06 Nov 2018,Worst mobile,1.0 ,ATCHIRAJU VENDURTHI
"1. The sound is too low that you will not hear the ring tone. The problem mostly occurs if you keep phone down (on table or some where similar). My mom has been using the phone for past couple of days and she has not been taking any phone calls since then. No one in the house is even hearing the sound to pick when ringing. 2. 5A was much better than 6A in terms of screen size. Even though the dimensions of 6A is bigger, 5A has much better usability. ( Eg : The back button which is placed in 5A vs 6A ) . 3. The photos / videos app is too noisy that it confuse what we should do with it. 4. Too much of tracking / spam apps to advertise. 5. The apps are getting hanging. You want to close the opened apps. The UI is a mess. 6. No infrared feature as in 5A. Oh god, your data is taken to China in the name of Make in India. I wonder why the government is allowing such things.",31 Dec 2018,Low sound and hanging,1.0 ,Hari K T
"I Review this phone 1 month use, First i like design and slim redmi 6A, my First purchase redmi product is Redmi 6A. My experience This phone is awesome. The main advantages this phone have not heating issues, past i use micromax and motorola, Lenovo companys 7000 range Budget phones, i faced main problem is heating issue but redmi changing my expectations in normal uses canot facing heating problems The phone, Redmi also recommended my brothers and friends. Battery backup is good, full time use 1 day battery backup otherwise 2 or 3 minimum without internet display good 8/10 camera quality good 7/10 peroformance 7/10 But main issue is not move apps into sd card but it's okk overall 8/10 Recommend Budget smart phone",31 Jul 2019,Redmi 6A Nice Budget phone,5.0 ,Thomas.Jose.T
"The product is looking great, better than its photos available online. I have purchased this item because of its light weight (145gm) sleek design and impact processor within budget. It has no fingerprint lock but the face recognize lock system is great even in the low light. Camera and display both are ok recommend for daily rough use. If you have some extra budget then I also recommend you to buy Redmi 5 or Redmi 7. Redmi 6a is great for me because I use mobile 16hrs a day surfing google and its weight and design is absolutely perfect for me within low budget. However, almost every Android phone is ok for the fist 1.5-2years, afterthat you know what will happen to it.",10 May 2019,Ligh weight strong and cool combination for daily rough use,5.0 ,Sourav Ghosh
"I ordered Redmi 6A mobile phone from Amazon on 21st May 2019 I received this product on today 23rd May 2019. When I opened the box, it looks that seal of box was opened and also phone charging port is look like it (Phone) was used before. I raised replacement order. After 1 week amazon given me new phone, till now it is working fine. About phone it is overall ok performance. Battery is drained very fast. Camera is very good for this cost range phones. Ram also ok but required more memory for storage. Phone look also very nice.",01 Jun 2019,Phone is ok for basic user.,3.0 ,Omkar Save
Very Nice mobile phone Redmi 6A. At the Rs. 6499/- Nice option. 32 GB inbuilt memory. Expanded by memory card up to 256 GB. 13 Mega pixels Back Camera. Front 5 Mega pixel. MIUI 10 operating system. 5.45 size. HD ready. Very nice mobile. Buy it.,06 Jun 2019,Wow!! Very Nice Mobile.,5.0 ,Rohit Pawar
"the mobile is very nice! looks awesome, sleek design, awesome specifications at this range! the dual sim plus dedicated sd card option makes the mobile best. the only problem is, though the display is 5.45"" but the fact is the display has a larger length and very thin breadth which makes the display looks even smaller than regular 5"" screen mobile, actually the breadth is smaller than regular 5"" display mobiles! and it is very slight i.e. 1-1.2 mm max (which is ignorable). thas is what they made, they made the length larger than 5"" display regular mobiles and that's makes its 5.45"" display. That's the only problem in the mobile. but that won't be an issue if u can manage that with your mind. otherwise the phone has no fault. @6k this is a best!",06 Feb 2019,awesome but!,4.0 ,Sourav B.
"redmi 6a is nice phone but not great ,poor selfi camera picture quality low plastic desgin good perfomance for battery life budgut phone 16 gb storage usable only 8 gb display light not impressive but 6k budgut phone",28 Sep 2018,nice phone,4.0 ,Piyush rathod
"Hi, I have brought this mobile from Amazon.in and used it for 30 days now. After the use of month Not feeling very happy to have it. Regretting my decision. I must say it has all the features of modern day smartphones. However, found some issues listing them below: 1.) It is very slow or non-responsive sometime. 2.) Face Unlock feature does not work that efficiently. 4) Battery Life is just OK OK. 5) The camera is also ok. I would recommend going with better MI series mobile than this, its a waste of a good chunk of money.",04 Dec 2018,"Good Phone with Nice Features, But very slow to operate! Regretting my decision to go with it.",3.0 ,Ravi Ranjan
"Xiaomi has completely messed up the redmi 6 series with mediatek chipsets. I am a big fan of xiaomi and used to recommend xiaomi phones for all right from redmi note 3 times but Xiaomi isn't good these days. Mediatek chipset seems better only on paper, in real world performance even 1.5 yr old redmi 4A can easily beat it. Though rear camera quality has improved , selfie camera performance is disappointing. Battery life is no way close to the Redmi 4A or 5A. And the ram management,real world performance feels completely worst . Worst xiaomi phone ever. Now the under 7k market is filled with better devices like powerful Realme c1 , feature rich lenovo A5 and snappy Asus max lite so be wise to choose a good phone.Even redmi 5A is far better choice than this. Wish things get improved with Miui updates.",24 Oct 2018,Go for asus lite or lenovo A5,3.0 ,Surya
"Prompt delivery by Amazon. The colour, body are simply as expected. The front camera could have been better, but at this price range, you cant expect much. The 16 gb storage could have been increased to atleast 32 gb, though. I am not a gaming person, but for browsing, etc., the phone works fine. A con, I must mention is, the positioning of the speaker. If the phone is kept on a surface (we always do that), the ring of the phone becomes extremely diminished in.volume. But, for this range, you can blindly go for it.",01 Jun 2019,Good budget buy.,4.0 ,Tara
Overall good phone for 6000. I purchased gold Colour from flash sale and it didn't go out of stock immediately. If you will multi-task then you have to charge it twice a day. Also display is dull but big enough to enjoy movies. Speakers are OK. Face unlock is smooth. Less heating problem. After using it for 20 days Pros 1.Latest trend 18:9 display 2.Light weight 3.Awesome selfie camera with AI portrait 4.Average rear camera 5. No heating during charging or use 6.Face unlock works fast 7.OTA update for MIUI 10 which is very User friendly 8.metal body in this price range 9.Sound is loud and clear Cons 1.No finger print sensor,13 Dec 2018,Overall good phone,4.0 ,Kumar Bablu
This is a complete value for money product. I exchanged my 5A 3gb 32gb for this mobile. I am happy with the performance of this mobile. Call and speaker volumes are really high. It makes calling in noisy environments audible. Just go for it.,25 Dec 2018,Best mobile in this price range,5.0 ,Partha P.
"Very very low price , got delivered next day Phone is light wght Apps like Applock shud come in every phone , only there are way too much useless apps , but have deactivated a lot of them . Stable 10 MIUI was present . Camera not that amazing ,but i did not bought for camera. Ram is 1 gb available on runtime that can give performance issues at times . Music player has free online music too, overall its good phone, if u are buying for parent , better set up phone first urself to turn off useless apps and check Data privacy etc. has features like Screen recorder, Call recoredr , Panchang ,equaliser. see it fulfills my BASIC requirments , it can do yours too.",19 Jan 2019,"Not only Price is very low , Features are nice too",5.0 ,ANUPAM
Phone is slow. My previous phone redmi 3s performing better than this even after 1 year usage. Next thing:MIUI 10 sucks... I still unable to cope up with the way notifucatioms are shown... Dont know any way to change the view.. Next thing i felt is videos with less than 720p is very poor to watch in this. Like tick tok musically videos. Its ok when playing in app. But once downloaded it plays with grains??... (Not the issue with phone but with miui10??) Charging is fast. And battery life is also good. Considering my previous redmi 3s had 4000mah battery. This one still feels ok... Also alarm notifications is not showing in lock screen.,17 Nov 2018,Average,3.0 ,Sudev A C
"Very bad product, please go to a shop and check few phones over there and then buy a phone or any electronic gadgets. AMAZON don't take any responsibility, if your gadget is not work properly or any defect is there is your device. This phone has very less sound and phone got cut again and again. Phone does not catch network properly. I gifted this phone to my dad, it was a great spoiler. Don't buy Gadgets from amazon. Now amazon is saying they don't accept return for mobile phones and they don't even replace with the same piece. Replacement of an electronic gadget is not there in their policy. The phone has very less sound, network is not catching, very pathetic phone. And when I told these problem to amazon, they said according to their policy this is not a problem. I am not able to make phone calls because of less sound and poor network catching ability of the phone, but amazon said this is not even a problem for them. Very pathetic service actually no service by AMAZOM. I am thinking of putting case against amazon on consumer court regarding this issue.",23 May 2019,"Very bad service/ No Service by AMAZON, please don't buy electronic gadgets form AMAZON.",1.0 ,Parimal
you install and run 2-3 apps together with a small 2gb of ram it can't handle on that ram and the phone literally hangs. Go for Redmi 5a instead. Also the processor is not that much good as compared to Qualcomm. Overall it is not that much good product from redmi,23 Sep 2018,Phone Hangs,2.0 ,Rahul Gupta
The phone has more features than Samsung Galaxy J5(16) which I was using. The features which other buyers hasn't mentioned in review are tap to wake up screen feature which i missed a lot and its Alarm that works even if phone is switched off. It reboots quickly and hardly takes a second to shutdown. At a budget price Rs 5999 I can't expect a better smartphone than this. I am an average phone user and happy to get Redmi 6A.,10 Jun 2019,Excellent smartphone for average users,5.0 ,Sanjay M.
"One month use Review Really bug phone please don't by 6A phone Biggest problem is battery charging , take a full charging near about 3.5 to 4 hours its shocking me. 10minit charge only 5 to 6% charge every 6A model >No MI remote use in this mobile due to IR sensor not provide >Display performance very poor like 3gp video showing in hd its not expecting from MI brand >Selfie portrait mode is not perfect blur in background..only make fool in this function >If u want internate speed hi guys u only single SIM use because if dual sim use speed reduce to lower my personal experience (Jio and second sim BSNl) >Proximity sensor not working properly. Display on every call even when phone near to 👂.. Yes battery backup is ok but charging time taken very much... Camera quality not bad this price Rating this product 1star out of 5",20 Feb 2019,Biggest mistake phone of MI brand...,1.0 ,Raj Chudasama
"To say in short, its one of the best devices out there in it's price bracket. I have got two of them for my family. Its a budget device and we must expect similar performance from it. Flash sales here at Amazon are far better than anywhere else adn you have a fair chance at getting the product. ••••••••••••••• INSIDE BOX ••••••••••••••• 1. Device 2. USB cable 3. Charger 4. SIM ejector tool 5. Few guides (No earphones, as is with every budget & midrange device) ••••••••••••••••••• ABOUT DEVICE ••••••••••••••••••• As trend goes, MI phones are value for money always. This one's no exception. ▶ Screen 9/10 ▶ Camera 8/10 (samples included) ▶ Battery 9/10 (1 day 23 hour 14 min on battery, 100% to 4%; 6hrs 50min SOT) ▶ Performance 7/10 ▶ Build 8/10 ▶ Sound 8/10 Overall 8.1/10 ••••••• PROS ••••••• 1. Refreshing looks with rounded corner display & body. 2. Good build quality with metal body. 3. Nice 5.45 in HD display (1440 x 720 pixels resolution), 295 PPI and 18:9 aspect ratio. Good sunlight legibility. 4. AI gimmick (haven't tested it much). 5. Full screen gestures, yes in pros as i love them in my Redmi note 5 pro & having them in low end segment is nice. 6. No hybrid slot, three separate slots, so 2 SIM and extra memory at same time. 7. Dual 4g standby (enable it in settings - SIM cards & mobile network). 8. Android Oreo 8.1 out of box. Periodic security & bug fixing updates. 9. Promised upgrade to MIUI 10 (upgrade released) & also a major upgrade to Android 9.0 10. Plethora of sensors (except IR in specific). 11. Pretty decent camera (samples attached) •••••••• CONS •••••••• 1. Performance may be a issue if you are coming from 5A. Having both devices right now, can say, this one is a bit on lower side compared to 5A as far as performance is considered. 2. No IR blaster in 6A, i do use it a lot. It's one the key features for me. 3. Helio vs Qualcomm, & it will really matter in this device. 4. Too many preloaded apps, though you can get rid of max off them & techies will be able to remove stubborn ones too. •••••••••••••••••••••••••••••••••••••••••••••••••••• BATTERY BACKUP (screenshots attached) •••••••••••••••••••••••••••••••••••••••••••••••••••• Device status: Locked bootloader, max apps restricted for notification access & autostart, screen brightness medium, and location off. Sim 1, 3g & 2g (50% 3g mode for data) WiFi on (60%, data on standby) Data on (40%, WiFi on standby) Night time: Data & Wifi off ▶ 1 day 23 hr 14 min on battery, 100% to 4% (Awesome, right?) SOT (Screen on time) 6hrs 50min (Impressive) ••••••••••••••••••• FINAL VERDICT ••••••••••••••••••• ▶ If you already have 5A, then 5A to 6A won't be an upgrade though. ▶ 5A also available at the moment, so you can get 5A instead of this, if you are not so obsessed with round corners of screen and fresh looks. As it's a 1 point downgrade as compared to 5A wrt performance & camera. ▶ But if you really want to have a new device & go with current day trend of screen & camera, AI, looks, & can live without IR blaster, it's not a bad deal either. It depends on your usage scenario. Refreshing device it is. Just some tweaks here and there & it will be good to go. ▶ BUT be open to other options available out there, you may shell out few bucks to avoid cons.",30 Sep 2018,Nice Device in Budget Segment with good set of features | REVIEW,4.0 ,Pushpendra Singh Patel
Very slow...and performance not good,28 Oct 2018,Performance not good... touch pad also not working very bad experience to me,1.0 ,suresh babu k
I brought that mobile in amazon as on 4 Feb 2019 and I have started to use the mobile after a week I received. when I switched on the mobile I saw few black dot on the screen and I thought its normal. Now the display was completely black and was able to hear only the ring tone and the screen does not wake up so took the mobil to service center and got to know from you about the issue my mobile is already opened for service and its water log I don't know how a new mobile is out of warranty and service.its terrible when amazon is not able to help me on this.. We believe online marketing is very good in service but useless if I have brought this Mobil in some retailers shop at least he will understand the issue now im helpless and I have to loose my 6000 rs it's lesson for me and people who read this pls don't believe online purchases,16 Mar 2019,Helpless services,1.0 ,Nias Mohamed
"Been using it for 3 weeks now. I have the blue redmi 6A. The only (minor) problems are - notification light is white on white, can't be seen; rear camera is really out of the body so a good case/cover is required to keep it protected; I agree with other reviewers about ringtone/sound getting muffled completely if phone is kept on bed/sofa, I missed many calls... the keypad lock screen dots for drawing pattern is little blurred I don't know why the resolution is not good...Otherwise really good enough for 6000... i hope it works fine .. thank you ..",10 Apr 2019,Its nice for the price,5.0 ,Amazon Customer
