review_text,review_posted_date,review_header,review_rating,review_author
"Definately buy if you want to use it for daily light usage as well as good quality images by camera in such price.... MY RATINGS FOR THIS PHONE OS processing in Android : 3.5/5 RAM 2 GB : 4/5 Connectivity technologies GPS/AGPS;GLONASS;BeiDou 5/5 Special Sensors : Proximity sensor;Accelerometer sensor;Ambient light sensor, E compass sensor (4/5 ) IR BLASTER IS NOT PRESENT Battery backup: (3.5/5) Camera Quality/: (5/5) Battery Power Rating",11 Dec 2018,This phone is made for light usage of software...,5.0 ,BHUSHAN GAJARE
"Brought this mobile for my mom. Manily purchased it keeping budget in mind and my mom's a ability to handle a smart phone. Not regreting too much since the user is amateur. But, if you are an advanced user or a gamer kindly avoid this phone. There are few more options available if you can able to add few more thousands to your budget. Build quality is okay Display is okay, not that great. Keep in mind that you can only watch 720p YouTube videos only. Camera quality is not that great. Remember, it has got only 2GB ram, when running on Oreio and Pie 3GB is mandatory. So, you can notice moderate lag. Battery life is not up to the mark. It's only 3000mah battery. Can stand for one day if used moderately. Takes lot of time to get fully charged. The charger capacity is only 5volt and 1amps. Speaker volume is low and when you are on call it's moderately loud. Signal quality is good. If you are really tight on budget, please accumulate few more bucks and go for other options in the same price range other than this. This is purely ment for amateurs. Don't expect to play PUBG at full graphics with this phone.",30 May 2019,"Save some money, go for some other model.",3.0 ,Vivekanand Arumanda
Good,20 Oct 2018,Good,5.0 ,Supriyo Neogi
"I will say it worst product after 15 days using review and also IR blaster ditch it... Display is big but video quality worst then Redmi5A... If comparing Redmi5A and Redmi6A then the Redmi5A is winner becoz video quality is good, Good battery backup, Redmi5A have 3gb ram and 32gb rom in same price with IR blaster... A",05 Nov 2018,MIUI 10 updated in Redmi6a,1.0 ,Surendra Suthar
"This phone appears to be great on paper, but in reality it lacks in performing so. Just after installing a few apps and 1 to 2 games...this phone starts stuttering and that's the only issuse I have with this phone, it's processor is not that powerful to handle a few tasks at the same time....but otherwise if you are buying this phone for the camera, you will be satisfied, cuz it serves one of the best camera's in the market at this price point. It also has face recognizing ability which adds up a bonus for us.",29 May 2019,Good but not so good,4.0 ,Harsh Ranadive
A good choice for people looking for low budget phone.built quality is good and is light weight.Camera performance is average.good in daylight condition. Not impressive for low light. video quality is good and can record hd videos.sound quality is above average. Performance is very good but don't expect heavy gaming support. Expect battery life for a day usage and little more. Pros : Separate memory card slot. Potrait mode in front camera. Good battery backup. Impressive pricing. Cons : No finger print sensor. No potrait mode in rear camera.,25 Feb 2019,A good low budget phone.,3.0 ,Sam
I tested this phone completely and found it was having same basic processing issues because 2 GB too is also enought for browsing 3-4 apps still the apps were lagging when loaded and their startup time was also too much. Not so quite happy with the processor and RAM. Front camera is really good even in low lights. Rear camera is okayy. Sound quality us very bad. Phone has great looks and is sleek and light weighter. Less bezels gave it more attractive look.,13 Nov 2018,Great looks and front camera not other configurations,4.0 ,Shashikant Mishra
This mobile is superb. Best built quality. Redmi 6a is a best option to buy a mobile phone in less budget. Superb front and rear camera quality. Amazing battery life you can use it 8-9 hours from a single charge. Excellent face recognition feature. This mobile phone is Value For Money and Worth Buy mobile phone. Highly Recommended!,14 Jul 2019,Excellent Mobile Phone,5.0 ,Sarthak Panwar
"I purchased many mi phone like. Note 4,note 5,mi 5a there are no problem all are good phone, but I recently purchased a mi 6a phone. This phone is end batter charge in 1-2 hours and heating the phone simple listing song. I totally disappointed with this product. I replacement the phone.",18 Nov 2018,Disapointed,3.0 ,Bikash kumar
"The Redmi 6A is the cheapest phone the company sells and is one of the cheapest smartphones you can buy today. While looking at the spec sheet it's easy to feel like you are getting a great deal for the price, in reality, that may not be the case. In case of the Redmi 6A, the phone is very affordable but Xiaomi has cut corner in key areas such as chipset and memory, which results in rather poor everyday performance. The phone just feels ponderous to use and that's today. A year or two down the line it will likely be insufferable. That's a shame because some of the other aspects of the phone, such as the design, the display, and even the camera are actually pretty good. Had it been armed with a faster chipset, this would have been a good entry-level smartphone.",27 May 2019,Choose REALME,1.0 ,Ankit
Actually i sometimes like the camera and sometimes didn't. Cause sometimes it worked fine for me but sometimes the pictures looked like as if someone painted them. And the battery i must say the battery works very well i bought this phone on feb or march and i am wriying this on may 24th till today there is no heating problem or my phone doesn't get hang while i am using it so i am satisfied. And as i am not someone who clicks selfies often so the camera problem is all fine with me .,24 May 2019,Facts 😄,4.0 ,Elina Kasumi
